# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3A1w2c4OvyPfk&t=weekly&p=us

Date,nyc diar 18_64y log,grapefruit,gi virus,viral gastroenteritis,mountain forecast,punta,orange calories,full year,tulum mexico,cancun to playa del carmen,flights to west palm,navel orange,flight to florida,flights to cancun,englewood florida,cat in heat,roth vs traditional,flights to west palm beach,gi bug,rsw,orange nutrition,flights to orlando,flights to key west,flights to florida,water heater,sauna,cherry blossom season,a cat in heat,resort punta cana,trip to florida,st petes,cozumel cruise,income limit,cancun airport,fort myers florida,red grapefruit,venice florida,crappie rods,baker creek,mountain weather,jig,antler shed,grapefruit spoon,afrin,gorda florida,florida flights,things to do in cozumel,augmentin,big sky weather,flights to daytona,grad school acceptance,flights to tampa,steam room,rincon pr,punta gorda florida,emetrol,resort map,to do in cancun,things to do in cancun,female cat in heat,cz,travel in may,winter park weather,a roth ira,w4,cara cara,previous year,camelback,lift,mexico in april,detroit to orlando,engineering internships,spring weather,fly to florida,graduate school acceptance,shed hunting,baker creek seeds,isla mujeres,funeral expenses,how long are cats in heat,all inclusive jamaica,bronchiolitis,tulum,alta weather,exemption,stomach virus,traditional vs roth,fort myers beach florida,cana,kindergarten registration,marathon florida,flights to sarasota,old san juan,flights to puerto rico,to puerto rico,internships high school,punta cana,rsw airport,snoring,cancun flights,max roth
2004-01-04,,0.803,-1.259,-0.480,0.267,-0.017,0.324,1.466,0.340,-1.775,0.812,0.374,-2.116,0.575,-0.776,0.472,-1.889,0.686,-0.898,-0.897,0.239,-0.181,-0.120,-0.352,0.454,0.425,-1.050,-0.569,0.270,0.606,-1.186,-0.433,-0.966,-0.676,-0.223,0.936,-0.204,-1.134,-0.213,-0.185,0.883,-1.226,0.547,-0.218,0.334,1.322,-2.206,0.928,-0.840,-1.582,-1.227,-0.717,0.050,-2.505,0.334,-0.847,0.404,0.226,-0.379,4.332,-0.201,-0.865,-0.190,-0.691,0.709,-0.495,-0.620,1.927,-0.091,-0.855,-1.281,2.411,-0.520,-0.178,0.259,-0.487,-0.178,3.237,-0.406,-1.088,-0.026,0.193,1.816,-0.785,0.826,-0.709,-1.536,0.492,-0.289,-0.367,3.185,-1.566,1.165,-0.344,-0.732,3.655,-0.162,-0.532,0.193,0.208,-0.341
2004-01-11,,0.630,-1.259,-0.474,0.647,0.285,-0.154,-0.682,0.300,-1.775,-0.259,0.354,-0.967,0.354,0.028,0.856,-0.091,-1.575,-0.898,-0.895,0.330,-0.738,0.066,-0.565,-0.241,0.262,-0.116,-1.521,1.567,1.294,-0.764,0.006,-0.849,-0.185,-0.522,-0.245,0.737,-1.134,-0.115,-0.174,0.555,-1.226,0.443,-0.415,0.242,2.158,0.332,0.840,-0.840,-1.582,-1.227,-0.677,0.057,-0.692,0.226,0.184,0.156,1.336,0.822,0.628,-0.032,-0.865,-0.954,-0.539,0.214,-0.315,-0.695,2.674,0.029,1.613,-1.281,1.904,-0.595,-2.185,1.796,0.167,0.117,2.282,0.124,-1.088,0.507,0.445,2.159,-0.785,1.123,-0.748,0.290,-0.020,0.206,-0.407,2.132,-1.566,1.592,-1.302,-0.908,0.822,0.096,-0.658,-0.050,1.409,0.044
2004-01-18,,1.271,-1.259,-0.796,0.947,-0.066,0.344,-1.270,0.304,-1.775,-1.749,0.985,0.543,0.681,1.447,0.649,-0.106,-1.575,-0.898,-1.314,-0.353,-0.110,0.192,-0.485,0.050,0.367,-0.123,-0.598,1.163,2.307,-1.210,0.787,-1.035,-0.263,-0.715,1.492,0.505,1.479,-1.000,-0.333,1.168,-1.226,1.838,-1.002,-0.072,1.723,-0.444,-0.131,-0.840,1.679,-1.227,-0.848,0.247,2.215,-0.050,-0.826,-0.159,-0.785,-0.737,-1.548,-0.280,-0.865,-0.954,-0.775,-0.196,-0.223,-0.439,1.593,-0.052,-0.855,-1.281,1.074,-0.180,1.057,-1.752,-0.135,-1.150,2.990,-0.176,-1.088,0.342,0.448,1.762,-0.785,0.565,-0.906,-1.536,-0.317,-0.319,-0.285,1.500,-1.566,1.674,-0.929,-1.143,0.502,-0.211,-1.694,0.130,1.724,-0.175
2004-01-25,,0.670,-1.259,-1.002,1.651,-0.241,0.286,-0.642,-0.201,-1.775,-0.026,-0.361,-2.116,1.269,0.268,0.506,-0.156,0.200,-0.898,-0.536,0.149,-0.368,0.264,-0.639,-0.351,-0.037,0.391,-0.774,0.047,-0.671,-0.264,-1.119,-0.633,-0.255,-0.705,0.283,0.217,-1.134,-0.764,-0.283,-0.136,-1.226,-1.550,-0.783,0.129,2.107,-0.004,-0.091,-0.840,-1.582,-1.227,-1.113,-0.594,2.519,0.089,-0.782,0.121,0.164,0.118,-1.548,-0.501,-0.865,-0.954,-0.882,-0.194,-0.337,-0.181,1.446,-0.065,-0.855,-1.281,1.541,0.039,0.335,-1.752,-0.300,-0.387,1.969,-0.250,0.548,0.246,0.537,1.008,-0.785,0.672,-0.968,-1.536,-0.192,-0.582,-0.355,2.001,-1.566,0.956,-0.961,-0.943,4.202,-0.392,-0.306,-0.591,-0.104,-0.614
2004-02-01,,0.349,-1.259,-0.142,-1.092,-0.514,0.070,0.039,-0.702,-1.775,0.961,-0.201,-1.148,-0.152,0.066,1.378,-0.072,0.286,-0.898,-1.256,-0.894,-0.516,-0.503,-0.796,-0.896,-0.058,-0.106,0.515,0.273,0.269,-0.526,-0.784,-0.657,-0.442,-0.721,-0.706,0.614,-1.134,-0.915,-0.434,-0.186,0.886,0.751,-0.925,0.449,1.137,-0.923,0.436,-0.840,0.264,-1.227,-1.326,-0.810,0.014,0.439,-0.785,-0.162,1.382,0.741,2.851,-0.419,-0.865,-0.954,-0.382,0.003,-0.448,-0.134,0.886,-0.352,-0.855,-1.281,1.395,0.168,-0.533,-0.373,0.254,-1.150,2.077,0.014,-1.088,-0.284,1.303,0.989,-0.785,0.829,-0.690,0.001,-0.943,-0.649,-0.092,1.063,-1.566,0.283,-1.101,-1.068,2.370,-0.535,-0.518,-0.557,0.028,-1.611
2004-02-08,,0.189,-1.259,2.143,-0.041,-0.444,0.354,-0.671,-0.090,-0.038,-0.052,-0.073,-0.661,0.587,-0.239,0.005,-0.648,-1.575,-0.898,-0.933,-0.091,-0.590,-0.472,-0.108,-0.379,-0.092,-0.163,-0.785,0.280,0.302,-0.711,-1.138,-0.943,0.023,-0.495,-1.446,1.109,-1.134,-0.781,-0.368,0.132,-1.226,-1.550,-0.724,0.212,1.783,0.204,-0.009,-0.840,-1.582,-1.227,-0.268,-1.178,0.292,0.244,-0.292,-0.065,0.842,0.073,-1.548,-0.429,-0.865,-0.954,-0.869,-0.305,-0.569,-0.271,1.476,0.047,-0.855,-1.281,1.657,0.270,0.608,1.357,-0.239,-0.398,1.812,1.031,0.255,0.457,0.969,1.632,-0.785,0.788,-0.492,1.353,0.310,-0.709,-0.316,3.348,-1.566,1.335,-0.795,-0.844,2.684,-0.502,-0.239,-0.485,-0.312,-1.611
2004-02-15,,0.618,0.760,0.135,-0.188,-0.387,0.165,-0.554,-0.366,-1.775,-1.749,0.168,0.256,0.486,0.552,0.704,-0.799,-1.575,-0.898,-0.709,0.021,-0.292,-0.745,0.115,-0.488,-0.285,-1.050,-0.487,0.222,0.513,0.058,-0.108,-1.130,0.029,-0.316,-0.059,0.481,-1.134,-0.134,-0.026,0.352,-1.226,0.891,-0.695,0.131,1.673,0.938,0.378,-0.840,-1.582,-1.227,-0.341,0.118,-0.129,0.137,-1.228,-0.109,-0.419,-0.481,0.526,-0.162,-0.865,0.113,-0.831,-0.790,-0.474,-0.417,0.850,0.172,-0.855,-1.281,1.428,0.377,0.930,0.588,0.537,-1.150,2.109,-0.411,-1.088,0.209,0.800,1.318,-0.785,0.610,-0.339,-1.536,-0.305,-0.678,-0.265,1.979,-1.566,1.438,-0.912,-1.048,2.701,-0.521,-0.120,-0.003,1.378,-1.611
2004-02-22,,0.403,-1.259,2.222,0.164,-0.727,-0.064,-0.123,-0.681,-1.775,-0.270,0.418,-0.215,0.036,0.598,0.592,-0.591,-1.575,-0.898,-0.936,-0.352,-0.783,-0.243,-0.483,-0.860,-0.857,0.619,-1.521,-1.252,1.266,-0.704,0.256,-0.859,-0.661,-0.326,0.056,0.302,-1.134,-0.865,-0.105,-0.050,3.338,0.710,-1.229,0.136,0.542,-0.190,0.820,-0.840,-1.582,-1.227,-1.173,-0.605,-0.255,0.189,-0.277,-1.423,1.683,1.031,-1.548,-0.794,-0.865,-0.954,-0.637,-0.506,-0.437,-0.282,-0.227,-0.295,-0.855,-1.281,1.656,0.244,-0.238,1.499,0.452,-1.150,1.488,-0.587,-1.088,-1.011,0.754,1.174,-0.785,1.334,-0.199,0.276,-0.502,-0.954,-0.285,2.571,-1.566,0.506,-1.561,-0.999,2.295,-0.853,0.002,-0.263,2.254,0.032
2004-02-29,,0.701,-1.259,1.156,-1.092,-0.806,0.082,-2.644,-0.643,-1.775,-1.749,-0.651,-2.116,-0.051,1.240,0.408,0.681,-1.575,-0.898,-0.963,0.075,-1.145,-0.437,-0.688,-0.703,-0.714,0.713,-0.302,0.863,-0.511,-0.607,-2.416,-0.888,-0.120,-0.232,0.724,0.571,-1.134,-0.703,-0.293,0.669,2.718,-1.550,-0.729,0.200,2.047,0.189,0.610,-0.840,1.290,-1.227,-1.050,-1.243,1.059,0.142,-0.586,-0.933,0.246,0.130,-1.548,0.015,-0.865,-0.954,-0.921,-0.659,-0.472,-0.466,-0.422,-0.317,-0.855,-1.281,2.182,0.677,-2.185,0.823,0.685,-1.150,1.547,0.483,-1.088,-3.045,2.032,1.442,-0.785,0.334,-0.375,-1.536,0.530,-1.062,-0.152,0.922,-1.566,0.776,-2.068,-1.086,0.953,-0.955,-1.258,-0.246,1.059,-1.611
2004-03-07,,0.630,-1.259,-0.763,-1.092,-0.891,-1.701,-1.482,-0.683,-1.775,-1.749,-0.125,-0.187,-0.222,-0.163,-0.766,-1.889,-1.575,-0.898,-0.982,-1.686,-0.693,-2.286,-0.820,-0.792,-0.054,1.208,-1.521,-1.002,-0.377,-1.265,1.921,-1.370,-0.086,-0.414,-0.227,1.491,-1.134,-1.190,-0.231,0.548,-1.226,-1.550,-1.208,0.442,2.059,-2.206,0.014,-0.840,-1.582,-1.227,-0.833,-1.085,1.147,0.408,-1.459,-0.610,1.174,1.923,-1.548,0.671,-0.865,0.549,-0.840,-1.173,-0.549,-0.322,0.101,-0.536,-0.855,-1.281,0.135,0.431,-2.185,2.095,0.101,-1.150,2.198,-1.395,-1.088,-0.569,0.889,0.767,-0.785,-0.591,-0.550,-1.536,-0.005,-1.146,0.085,1.340,-1.566,0.620,-2.068,-0.973,1.144,-1.156,-0.526,-0.353,1.439,-1.611
